Year,Month,Day,City_encoded,State_encoded,Store type_encoded
2007,2,15,30,19,1
2013,1,30,9,5,0
2019,8,23,18,9,1
2020,5,25,24,1,0
2010,9,13,15,8,1
2012,10,22,6,27,0
2016,4,29,51,8,0
2015,6,12,19,25,0
2012,9,12,44,28,0
2012,1,20,37,6,1
2014,8,29,8,22,1
2016,5,27,36,27,0
2012,7,4,31,13,0
2008,8,6,13,16,0
2012,9,26,29,27,1
2014,1,3,12,7,0
2020,10,12,47,4,1
2021,5,3,7,11,0
2017,10,30,31,13,1
2009,9,4,11,29,1
2019,4,3,49,26,0
2012,1,25,29,27,0
2007,5,3,22,11,1
2023,12,11,12,7,1
2014,6,4,27,30,1
2020,1,17,24,1,1
2013,10,16,0,12,1
2019,9,4,40,27,0
2019,6,7,9,5,1
2012,12,26,53,18,0
2023,7,12,32,6,1
2021,5,28,6,27,1
2008,6,4,27,30,1
2021,10,11,9,5,1
2007,2,15,14,24,0
2013,4,3,4,5,0
2012,10,10,17,14,1
2018,12,21,18,9,0
2010,3,1,13,16,1
2023,3,3,14,24,0
2014,7,30,19,25,0
2015,8,10,6,27,1
2022,4,27,53,18,0
2009,8,17,22,11,1
2021,1,13,3,22,1
2009,7,10,45,10,0
2014,3,28,41,4,0
2015,11,6,46,6,1
2007,1,26,2,3,0
2010,10,29,11,29,1
2011,6,13,32,6,1
2019,8,26,24,1,1
2015,3,20,21,2,0
2023,11,13,47,4,0
2020,11,30,0,12,1
2018,3,14,45,10,1
2019,3,22,18,9,0
2023,3,31,46,6,0
2007,7,2,26,15,0
2022,4,8,26,15,1
2009,8,26,35,21,1
2014,10,1,42,17,1
2020,1,29,7,11,0
2013,2,20,54,20,0
2024,1,5,53,18,1
2019,11,13,52,14,0
2018,7,20,28,25,1
2008,6,25,16,9,1
2013,2,13,20,11,1
2007,9,10,30,19,0
2012,5,18,28,25,1
2019,2,25,54,20,1
2013,12,2,44,28,0
2021,8,9,14,24,1
2014,4,4,23,27,1
2009,5,6,20,11,1
2020,12,7,6,27,1
2012,12,26,34,20,1
2008,6,9,45,10,0
2013,10,2,50,29,0
2019,12,20,32,6,1
2016,10,21,10,12,1
2013,12,30,34,20,1
2014,4,14,53,18,1
2017,4,28,49,26,0
2013,3,1,32,6,1
2007,4,23,27,30,1
2012,6,18,7,11,0
2019,1,18,47,4,0
2015,10,30,33,29,1
2022,9,5,46,6,1
2020,12,11,52,14,1
2019,9,25,4,5,0
2011,7,4,17,14,0
2022,7,6,27,30,1
2010,4,23,6,27,0
2021,9,24,13,16,1
2011,1,14,40,27,0
2023,7,28,54,20,1
2020,8,3,19,25,0
2016,2,12,9,5,0
2017,4,19,48,29,0
2013,1,11,3,22,0
2015,12,9,30,19,0
2009,7,31,2,3,0
2021,4,21,6,27,0
2012,1,9,44,28,1
2008,2,29,24,1,0
2023,9,27,4,5,0
2007,7,2,28,25,1
2016,12,2,49,26,0
2020,5,13,47,4,0
2020,2,5,16,9,1
2018,7,9,53,18,1
2016,2,12,45,10,1
2017,8,30,28,25,1
2013,4,19,48,29,0
2015,9,7,38,23,0
2009,5,4,13,16,1
2014,11,3,9,5,1
2018,8,10,38,23,0
2011,8,5,15,8,0
2008,1,14,43,1,1
2021,8,23,55,31,0
2014,10,8,7,11,0
2019,6,12,20,11,1
2013,9,23,9,5,0
2016,6,20,14,24,0
2015,10,2,54,20,1
2018,6,22,35,21,0
2020,7,20,18,9,0
2015,9,9,21,2,0
2009,7,1,11,29,1
2008,6,2,28,25,1
2023,6,21,18,9,1
2022,11,14,28,25,0
2018,9,21,20,11,1
2012,9,21,18,9,0
2011,11,18,13,16,0
2015,2,27,8,22,0
2007,6,29,14,24,0
2012,4,23,38,23,0
2009,7,15,20,11,1
2017,3,29,34,20,0
2022,6,27,41,4,1
2011,8,12,27,30,0
2017,10,18,16,9,1
2013,3,1,21,2,0
2008,3,24,16,9,1
2007,6,19,50,29,0
2007,3,8,22,11,0
2013,8,26,38,23,0
2008,7,23,14,24,1
2022,9,28,51,8,1
2017,3,13,1,0,0
2019,6,21,12,7,0
2018,3,2,1,0,0
2023,7,12,4,5,0
2015,3,13,11,29,1
2010,3,3,48,29,0
2013,5,27,41,4,1
2020,9,23,34,20,1
2016,6,22,6,27,0
2024,1,17,49,26,0
2007,4,28,8,22,0
2011,8,5,22,11,1
2021,10,8,49,26,0
2023,6,30,24,1,0
2008,9,29,50,29,1
2013,12,30,43,1,1
2008,4,28,31,13,0
2009,7,31,52,14,1
2023,11,8,55,31,0
2012,8,31,21,2,0
2014,4,7,14,24,1
2019,5,27,43,1,0
2009,5,15,36,27,0
2012,8,22,4,5,1
2007,3,23,3,22,0
2010,4,28,27,30,0
2007,5,10,21,2,1
2008,2,22,21,2,1
2021,9,17,30,19,1
2015,6,5,20,11,1
2023,1,9,38,23,0
2019,3,6,12,7,0
2023,1,4,9,5,1
2012,3,28,40,27,1
2015,4,22,45,10,1
2023,10,13,27,30,0
2014,2,26,10,12,1
2007,2,1,37,6,1
2013,2,18,48,29,0
2019,3,15,54,20,0
2009,8,10,2,3,0
2020,12,28,8,22,0
2014,2,28,20,11,1
2019,5,29,36,27,0
2023,2,22,38,23,0
2019,6,14,3,22,0
2008,3,12,34,20,1
2008,3,3,35,21,0
2014,4,21,38,23,0
2009,6,5,55,31,1
2020,9,21,8,22,1
2010,5,26,23,27,1
2008,1,16,25,18,0
2016,3,9,45,10,1
2017,11,8,16,9,0
2023,3,3,23,27,0
2009,12,16,16,9,0
2015,8,28,32,6,1
2021,10,8,14,24,1
2022,11,25,49,26,1
2009,7,8,2,3,1
2012,12,14,51,8,0
2012,7,27,51,8,0
2011,12,16,50,29,0
2018,7,2,30,19,0
2013,2,1,4,5,0
2012,10,10,51,8,0
2014,7,11,27,30,1
2024,1,5,14,24,1
2011,1,26,51,8,0
2012,10,24,23,27,1
2016,7,15,45,10,0
2018,2,19,34,20,0
2022,3,11,26,15,0
2014,11,26,29,27,1
2022,6,20,14,24,0
2021,9,3,30,19,0
2007,2,6,51,8,1
2009,1,14,6,27,0
2017,10,27,36,27,0
2007,6,6,55,31,1
2016,2,15,10,12,1
2019,5,13,13,16,0
2010,10,20,48,29,1
2019,9,18,0,12,1
2010,4,30,6,27,0
2008,4,2,9,5,0
2022,10,5,46,6,0
2009,4,22,38,23,1
2014,1,27,35,21,0
2021,4,21,19,25,1
2016,8,12,12,7,0
2011,10,19,22,11,0
2008,11,12,50,29,0
2020,7,29,28,25,0
2008,11,10,4,5,0
2023,1,30,30,19,0
2017,7,17,45,10,0
2016,8,17,11,29,1
2007,5,4,9,5,1
2018,4,4,9,5,0
2007,3,29,4,5,1
2011,5,9,26,15,0
2013,6,19,20,11,1
2013,9,6,51,8,1
2017,7,5,10,12,1
2014,11,10,52,14,0
2014,5,12,15,8,0
2020,8,19,6,27,1
2009,5,25,26,15,0
2023,5,22,34,20,1
2022,1,24,26,15,0
2014,9,10,4,5,1
2015,6,26,50,29,0
2010,5,19,49,26,0
2024,2,14,24,1,1
2010,9,22,51,8,0
2019,5,31,50,29,1
2023,1,20,11,29,1
2018,7,20,7,11,1
2018,11,14,8,22,0
2019,9,27,2,3,1
2012,10,12,29,27,0
2013,5,27,36,27,1
2011,2,14,47,4,1
2007,2,22,5,25,0
2022,12,21,1,0,1
2009,1,7,29,27,1
2009,3,6,19,25,1
2012,11,7,32,6,1
2009,1,30,35,21,1
2018,10,3,17,14,1
2014,8,11,14,24,0
2017,8,7,31,13,0
2018,12,3,24,1,1
2013,4,24,46,6,0
2008,6,27,10,12,0
2012,12,12,36,27,0
2021,6,18,6,27,1
2011,10,17,33,29,0
2013,10,28,1,0,1
2007,6,5,51,8,0
2016,1,29,31,13,0
2017,5,15,21,2,1
2023,6,28,43,1,0
2022,2,25,31,13,0
2019,1,7,51,8,0
2015,11,30,31,13,0
2019,6,19,14,24,1
2009,5,11,29,27,0
2020,5,25,1,0,1
2010,3,31,36,27,0
2017,11,24,12,7,0
2007,4,3,6,27,1
2018,2,28,49,26,0
2014,7,9,30,19,1
2014,5,7,24,1,1
2020,12,2,31,13,0
2012,1,18,7,11,0
2015,7,3,41,4,0
2013,1,23,34,20,0
2009,10,9,20,11,0
2021,9,8,13,16,0
2021,3,12,9,5,1
2018,12,21,40,27,1
2016,10,31,2,3,1
2015,10,19,31,13,1
2021,1,13,1,0,1
2009,4,6,10,12,1
2019,3,13,48,29,0
2019,12,23,34,20,1
2020,2,5,45,10,0
2012,4,25,17,14,1
2013,3,1,12,7,0
2010,1,27,49,26,0
2007,8,27,52,14,0
2021,12,22,17,14,1
2014,7,28,24,1,1
2015,4,22,39,25,1
2021,12,13,11,29,1
2013,7,17,33,29,0
2018,9,19,29,27,0
2008,8,25,17,14,0
2024,2,7,38,23,0
2009,5,22,32,6,0
2013,9,6,24,1,0
2016,9,2,39,25,1
2010,12,3,10,12,1
2009,11,6,51,8,0
2022,2,16,44,28,0
2013,1,28,2,3,0
2009,9,30,31,13,1
2007,5,21,13,16,0
2022,9,5,4,5,1
2017,10,18,35,21,1
2019,5,13,36,27,1
2014,7,14,40,27,1
2010,3,22,17,14,0
2022,1,7,5,25,0
2014,7,7,25,18,0
2019,2,6,10,12,1
2012,7,20,42,17,0
2013,12,2,35,21,1
2019,5,17,44,28,1
2015,7,8,54,20,1
2014,1,17,38,23,1
2022,1,7,53,18,0
2014,10,13,42,17,1
2009,5,15,31,13,1
2016,7,8,20,11,0
2007,12,17,19,25,1
2013,5,24,53,18,0
2009,10,7,14,24,1
2017,5,10,40,27,0
2011,2,9,9,5,1
2014,6,13,2,3,0
2018,10,24,43,1,0
2016,6,24,43,1,0
2008,12,12,2,3,0
2008,6,20,21,2,1
2014,6,27,4,5,0
2013,2,11,51,8,1
2007,1,22,0,12,1
2023,9,29,8,22,1
2013,4,10,18,9,0
2010,10,25,53,18,1
2016,11,9,1,0,0
2015,7,22,45,10,1
2019,7,5,9,5,0
2022,4,11,8,22,1
2013,12,30,46,6,1
2013,9,23,17,14,1
2018,4,13,25,18,0
2024,1,12,55,31,0
2015,8,26,40,27,0
2011,8,3,48,29,1
2021,3,24,30,19,1
2012,10,17,3,22,1
2012,3,9,3,22,1
2014,8,15,43,1,1
2022,3,28,9,5,1
2016,12,28,39,25,0
2010,4,30,4,5,0
2007,6,14,15,8,1
2008,3,5,38,23,1
2018,8,15,0,12,1
2020,10,12,38,23,1
2011,11,18,41,4,0
2014,5,19,42,17,1
2013,11,27,8,22,1
2008,9,12,21,2,1
2013,1,2,41,4,0
2020,11,6,42,17,1
2014,2,5,28,25,1
2019,7,26,4,5,0
2009,6,10,25,18,0
2013,1,9,9,5,1
2016,12,19,42,17,0
2014,9,24,19,25,0
2019,9,27,26,15,0
2012,5,11,24,1,1
2021,1,18,8,22,1
2009,1,19,43,1,0
2010,5,17,19,25,0
2010,8,9,49,26,0
2021,3,29,24,1,0
2009,12,21,13,16,1
2016,4,15,24,1,0
2023,4,17,30,19,1
2017,7,26,55,31,0
2021,3,10,26,15,0
2007,4,11,35,21,0
2023,8,28,48,29,0
2011,2,18,5,25,1
2007,4,3,5,25,0
2022,8,31,48,29,1
2019,8,7,2,3,0
2019,10,18,19,25,0
2015,8,26,21,2,0
2010,2,3,13,16,1
2010,3,8,51,8,0
2023,1,16,6,27,0
2007,11,20,50,29,1
2022,8,26,36,27,0
2009,10,12,26,15,0
2015,9,14,40,27,0
2014,2,14,3,22,0
2013,6,26,15,8,1
2019,3,11,37,6,1
2023,3,29,21,2,1
2013,1,30,33,29,0
2015,8,31,12,7,1
2015,10,7,40,27,0
2023,10,27,39,25,1
2010,9,1,2,3,0
2007,2,13,9,5,1
2016,7,8,38,23,1
2011,12,7,33,29,1
2010,1,4,29,27,1
2017,2,1,35,21,1
2010,3,17,0,12,0
2009,6,1,43,1,1
2022,11,30,48,29,1
2017,8,21,13,16,0
2017,1,13,25,18,1
2007,5,31,36,27,0
2011,3,7,49,26,0
2014,5,23,52,14,1
2015,4,24,2,3,0
2017,10,4,1,0,1
2022,8,5,29,27,0
2007,6,25,25,18,0
2009,7,8,15,8,1
2022,2,14,41,4,0
2024,2,23,54,20,1
2021,7,21,1,0,1
2021,1,8,6,27,0
2011,5,23,2,3,1
2013,2,11,13,16,0
2016,8,12,6,27,1
2015,7,24,24,1,0
2019,3,25,55,31,1
2011,3,4,34,20,1
2020,10,28,46,6,0
2018,9,28,22,11,1
2016,6,27,24,1,0
2010,10,18,50,29,0
2011,5,2,42,17,1
2010,6,11,25,18,1
2011,3,4,41,4,1
2013,9,11,24,1,1
2023,1,27,12,7,1
2011,11,11,20,11,0
2023,9,13,2,3,0
2015,10,19,6,27,1
2022,7,29,13,16,1
2016,1,4,4,5,1
2012,11,21,14,24,0
2022,5,11,30,19,0
2013,6,10,14,24,0
2023,5,26,25,18,0
2009,3,25,35,21,0
2010,1,6,28,25,0
2019,11,8,19,25,0
2020,1,22,31,13,1
2012,6,11,49,26,1
2009,10,23,8,22,0
2016,1,8,6,27,1
2020,9,14,41,4,0
2017,5,3,52,14,0
2014,4,30,35,21,0
2019,9,18,54,20,1
2016,6,29,21,2,1
2018,11,28,7,11,1
2023,2,22,2,3,0
2019,4,17,29,27,0
2018,9,24,6,27,0
2008,10,22,36,27,1
2020,7,22,41,4,1
2021,9,8,2,3,0
2013,10,4,24,1,1
2017,1,25,25,18,0
2012,8,8,9,5,1
2011,9,2,42,17,1
2013,2,11,26,15,0
2011,5,11,15,8,0
2013,3,22,8,22,1
2015,9,2,41,4,1
2010,4,14,42,17,1
2020,2,19,21,2,0
2011,7,6,26,15,0
2021,12,17,54,20,1
2019,2,22,25,18,0
2018,8,15,1,0,0
2012,4,20,1,0,1
2009,11,27,10,12,0
2015,6,12,30,19,0
2020,3,6,40,27,1
2019,7,10,6,27,1
2020,3,23,30,19,1
2014,3,31,10,12,0
2008,3,19,21,2,0
2008,10,20,52,14,0
2021,9,24,14,24,0
2007,3,20,29,27,0
2008,7,9,27,30,0
2009,8,28,26,15,0
2007,3,31,25,18,1
2010,11,19,19,25,1
2008,2,8,1,0,0
2015,3,4,48,29,1
2018,9,7,25,18,1
2008,4,16,6,27,1
2010,2,10,37,6,0
2010,10,27,41,4,0
2012,5,11,54,20,1
2014,10,31,49,26,1
2017,1,13,24,1,1
2019,5,10,14,24,1
2012,7,2,32,6,1
2023,10,2,52,14,0
2014,10,15,23,27,0
2015,11,23,46,6,1
2007,2,24,35,21,1
2017,9,25,22,11,0
2014,2,14,50,29,1
2012,9,19,19,25,0
2023,9,15,46,6,1
2023,10,11,18,9,0
2010,3,26,3,22,0
2015,10,9,54,20,1
2012,1,25,4,5,0
2022,6,22,50,29,1
2017,10,18,9,5,0
2013,12,6,12,7,0
2016,6,20,37,6,0
2011,6,8,16,9,0
2022,2,18,0,12,1
2011,1,7,2,3,0
2011,2,28,11,29,1
2016,12,16,54,20,0
2008,6,18,4,5,0
2014,11,14,55,31,0
2007,8,6,52,14,0
2011,2,14,28,25,1
2010,3,3,12,7,0
2018,11,7,14,24,0
2024,1,29,8,22,1
2012,1,30,33,29,0
2010,5,21,28,25,1
2014,4,16,41,4,1
2007,12,24,13,16,0
2011,6,17,12,7,1
2011,11,23,16,9,1
2012,10,29,55,31,0
2021,8,25,16,9,1
2021,11,10,0,12,1
2017,3,22,52,14,0
2021,12,17,49,26,0
2019,4,3,31,13,0
2023,8,9,9,5,1
2020,11,30,5,25,1
2007,4,17,55,31,1
2010,12,27,19,25,1
2016,2,17,9,5,1
2013,12,30,10,12,1
2016,10,17,44,28,0
2013,3,8,41,4,0
2019,1,21,35,21,1
2023,6,9,45,10,1
2022,6,20,0,12,0
2017,11,10,30,19,1
2016,2,17,13,16,0
2022,6,22,36,27,1
2019,5,31,23,27,0
2016,1,25,32,6,0
2013,7,10,22,11,1
2016,1,29,36,27,0
2016,8,8,9,5,1
2009,3,18,29,27,0
2014,10,1,51,8,0
2011,3,11,4,5,1
2012,7,13,23,27,0
2009,6,22,6,27,0
2011,3,28,34,20,0
2023,6,9,48,29,0
2014,12,29,19,25,0
2015,12,28,30,19,0
2020,4,13,6,27,0
2019,3,11,15,8,0
2020,2,19,41,4,0
2013,11,4,21,2,1
2014,2,5,17,14,0
2013,6,12,20,11,1
2016,8,26,3,22,1
2016,8,8,8,22,0
2016,8,10,1,0,1
2018,3,16,37,6,1
2022,6,17,50,29,1
2012,6,29,47,4,1
2010,1,29,23,27,0
2024,1,26,2,3,1
2012,11,12,41,4,1
2007,6,1,55,31,0
2019,5,13,0,12,0
2008,9,22,31,13,1
2019,3,8,24,1,1
2007,2,14,27,30,0
2011,4,18,14,24,0
2011,8,1,5,25,0
2012,2,17,43,1,1
2016,8,1,34,20,0
2018,6,20,26,15,1
2016,8,19,28,25,1
2021,12,6,14,24,0
2008,12,29,14,24,0
2023,10,27,24,1,0
2015,4,20,29,27,1
2007,7,23,6,27,1
2023,1,18,34,20,0
2019,9,13,50,29,0
2008,5,7,49,26,1
2018,12,10,41,4,1
2021,3,29,6,27,1
2022,2,14,5,25,0
2018,1,19,52,14,1
2016,9,5,40,27,1
2024,2,12,10,12,1
2017,8,21,51,8,0
2016,6,29,9,5,0
2018,4,13,4,5,0
2022,11,25,52,14,0
2008,10,22,12,7,1
2016,7,29,38,23,1
2008,8,18,49,26,1
2008,3,12,1,0,1
2023,8,23,8,22,0
2018,4,13,19,25,1
2011,5,9,12,7,0
2009,1,9,3,22,1
2017,1,30,3,22,1
2020,4,3,9,5,0
2023,11,15,18,9,1
2017,8,9,9,5,1
2018,2,16,24,1,1
2013,11,6,36,27,0
2014,3,10,25,18,0
2023,1,18,7,11,1
2016,2,22,55,31,1
2014,11,21,4,5,0
2021,2,15,51,8,1
2023,11,10,51,8,1
2012,9,5,21,2,0
2012,5,2,37,6,0
2022,8,24,41,4,0
2009,3,20,15,8,1
2009,9,2,6,27,0
2021,7,7,52,14,0
2012,3,30,29,27,0
2011,11,11,17,14,1
2010,5,17,38,23,0
2012,1,6,28,25,1
2007,5,12,30,19,0
2008,4,7,13,16,1
2010,12,24,32,6,0
2020,2,19,15,8,1
2020,8,28,48,29,1
2021,2,12,55,31,1
2014,4,14,54,20,1
2012,10,8,28,25,0
2009,5,11,30,19,0
2008,2,6,4,5,0
2018,10,24,47,4,0
2007,5,24,33,29,1
2017,10,25,14,24,1
2008,10,31,23,27,0
2023,4,12,29,27,0
2022,9,7,3,22,0
2021,11,17,54,20,1
2015,8,10,47,4,1
2013,2,13,43,1,0
2011,11,9,42,17,0
2015,12,23,33,29,1
2014,11,28,18,9,0
2012,9,5,55,31,1
2017,7,31,0,12,0
2016,10,10,48,29,1
2009,5,13,2,3,0
2014,1,3,9,5,0
2012,5,21,50,29,0
2021,8,11,16,9,0
2007,4,11,48,29,0
2011,7,8,51,8,0
2021,3,26,5,25,0
2014,3,5,32,6,1
2019,2,27,44,28,0
2013,2,15,39,25,0
2019,1,16,14,24,0
2019,11,15,9,5,1
2014,6,9,29,27,0
2015,12,9,7,11,0
2011,8,31,5,25,1
2010,6,25,13,16,1
2014,6,30,47,4,1
2013,1,18,1,0,0
2008,10,13,50,29,1
2009,11,6,41,4,0
2023,1,25,25,18,1
2007,2,9,30,19,0
2022,7,15,52,14,1
2011,4,1,52,14,0
2015,10,30,30,19,1
2010,3,12,43,1,1
2011,4,29,9,5,0
2013,11,29,47,4,0
2022,12,12,53,18,1
2010,1,11,3,22,1
2007,5,31,19,25,0
2023,7,10,21,2,0
2011,11,18,1,0,1
2012,6,29,49,26,1
2014,11,26,43,1,1
2012,12,12,6,27,0
2014,2,14,44,28,0
2023,3,1,7,11,0
2007,5,2,0,12,0
2019,10,21,19,25,0
2009,11,27,2,3,1
2021,4,7,25,18,0
2010,8,16,30,19,1
2017,9,22,43,1,1
2021,3,31,44,28,1
2018,3,23,0,12,1
2019,3,11,7,11,0
2018,5,28,22,11,1
2023,10,13,45,10,1
2012,5,11,22,11,1
2013,11,8,22,11,1
2017,2,27,38,23,1
2017,9,25,20,11,0
2015,11,11,40,27,1
2007,3,17,8,22,0
2021,12,15,6,27,1
2012,8,29,12,7,0
2020,4,17,34,20,0
2015,7,24,8,22,0
2012,3,23,19,25,1
2022,1,26,47,4,1
2023,12,22,24,1,1
2013,1,21,46,6,1
2021,11,12,25,18,1
2015,11,27,26,15,1
2015,2,4,41,4,0
2007,5,21,26,15,0
2013,11,8,8,22,1
2010,3,19,32,6,0
2014,6,25,17,14,0
2012,9,24,46,6,0
2013,6,21,16,9,0
2010,8,2,26,15,0
2010,1,18,29,27,0
2010,1,22,47,4,0
2015,12,9,9,5,0
2017,12,11,46,6,0
2009,10,26,17,14,1
2008,3,14,33,29,0
2013,9,2,39,25,0
2018,5,16,26,15,1
2020,8,19,8,22,1
2016,2,17,53,18,1
2017,4,12,35,21,1
2010,6,4,34,20,1
2011,3,11,50,29,0
2007,2,20,8,22,1
2015,6,8,3,22,1
2007,6,7,37,6,1
2007,1,29,24,1,0
2014,8,15,50,29,1
2022,3,11,37,6,1
2011,12,26,8,22,1
2019,1,21,10,12,1
2023,3,31,5,25,0
2010,4,23,53,18,0
2023,5,26,0,12,1
2010,5,28,51,8,1
2008,1,4,42,17,1
2023,8,7,9,5,1
2017,12,11,31,13,0
2016,8,10,48,29,1
2014,11,14,30,19,1
2021,9,17,47,4,1
2013,4,19,45,10,1
2011,6,10,54,20,1
2009,7,15,8,22,1
2013,11,27,42,17,0
2022,9,9,41,4,0
2019,3,15,31,13,0
2015,4,13,53,18,1
2008,10,27,27,30,0
2008,8,13,14,24,1
2019,10,7,16,9,1
2015,11,18,7,11,0
2014,9,26,0,12,0
2014,9,24,1,0,1
2013,11,29,39,25,0
2020,11,27,1,0,0
2014,6,9,44,28,0
2012,8,20,43,1,1
2017,6,5,37,6,1
2014,12,29,13,16,0
2012,4,13,9,5,0
2012,3,5,16,9,0
2019,5,24,38,23,0
2010,5,31,19,25,1
2013,11,1,3,22,0
2013,11,8,37,6,0
2018,6,29,16,9,1
2021,6,9,3,22,0
2012,6,1,45,10,0
2019,8,26,25,18,0
2024,2,21,55,31,1
2017,11,15,9,5,0
2008,10,15,31,13,0
2011,10,21,52,14,1
2009,4,22,32,6,0
2014,12,8,50,29,1
2007,4,14,41,4,1
2016,6,1,49,26,0
2007,5,25,38,23,0
2008,10,29,27,30,1
2008,9,19,10,12,1
2018,9,21,2,3,1
2018,11,26,51,8,0
2014,3,28,24,1,1
2018,5,2,11,29,0
2023,10,23,15,8,1
2022,2,9,6,27,1
2015,1,16,3,22,0
2016,12,14,44,28,1
2018,10,15,16,9,1
2017,6,21,30,19,1
2019,8,19,32,6,0
2017,6,2,47,4,0
2009,8,26,13,16,0
2021,2,12,28,25,0
2018,6,29,27,30,0
2017,9,8,44,28,0
2012,9,17,22,11,1
2015,11,23,0,12,0
2015,5,18,25,18,1
2022,8,17,51,8,1
2016,12,12,28,25,1
2019,8,30,21,2,0
2012,1,23,13,16,0
2020,10,12,55,31,0
2012,8,6,21,2,1
2009,10,14,35,21,0
2012,4,18,30,19,0
2013,6,3,9,5,0
2012,3,21,13,16,1
2017,10,23,37,6,0
2013,3,6,51,8,0
2008,7,9,14,24,1
2007,2,22,12,7,0
2018,12,21,49,26,1
2007,5,29,34,20,0
2021,1,15,47,4,0
2016,5,20,40,27,0
2013,10,7,44,28,0
2017,1,13,5,25,0
2019,10,16,37,6,1
2008,12,26,52,14,1
2019,10,21,50,29,1
2012,3,14,17,14,0
2009,10,30,33,29,0
2016,6,3,47,4,1
2021,3,3,3,22,0
2009,7,15,44,28,0
2008,1,9,0,12,1
2016,8,5,37,6,0
2014,1,24,46,6,1
2013,7,26,45,10,1
2010,11,1,28,25,0
2012,12,3,22,11,1
2011,8,15,48,29,0
2021,9,3,52,14,1
2016,6,22,45,10,1
2017,4,17,26,15,0
2008,2,6,21,2,0
2015,1,16,48,29,0
2024,1,17,27,30,1
2019,12,6,16,9,1
2023,2,22,25,18,1
2016,8,26,12,7,1
2014,3,7,47,4,1
2017,2,20,20,11,0
2015,4,13,2,3,1
2013,4,26,16,9,1
2015,8,10,9,5,0
2020,3,2,35,21,1
2010,12,27,38,23,1
2020,1,8,6,27,0
2018,11,16,20,11,1
2011,5,18,14,24,1
2012,6,25,49,26,1
2018,6,29,7,11,0
2022,4,27,3,22,1
2010,10,6,33,29,0
2018,5,9,9,5,0
2014,5,26,40,27,0
2013,12,20,20,11,1
2014,10,13,30,19,1
2012,9,5,38,23,0
2016,10,21,12,7,0
2012,5,25,9,5,1
2007,4,27,45,10,1
2015,10,19,4,5,1
2013,10,21,15,8,0
2010,5,3,20,11,0
2023,5,10,40,27,1
2011,7,15,21,2,1
2007,9,17,13,16,0
2020,11,18,40,27,1
2014,11,19,48,29,0
2018,9,3,43,1,1
2018,5,4,46,6,1
2020,10,7,17,14,1
2008,8,15,55,31,0
2011,8,15,48,29,1
2015,6,19,39,25,0
2023,1,25,43,1,1
2014,1,3,2,3,0
2008,2,20,51,8,0
2016,6,1,22,11,1
2007,2,20,34,20,1
2011,12,14,20,11,1
2023,4,3,35,21,1
2017,7,28,31,13,1
2015,11,4,36,27,0
2008,2,18,1,0,1
2013,10,4,11,29,1
2016,10,17,32,6,1
2012,9,17,27,30,0
2013,8,9,52,14,1
2017,2,24,22,11,0
2017,10,23,54,20,0
2021,11,29,12,7,0
2019,12,18,32,6,1
2009,5,25,42,17,1
2015,4,1,36,27,1
2009,3,4,37,6,1
2007,11,5,48,29,0
2023,9,29,28,25,0
2017,4,10,42,17,0
2016,4,27,40,27,1
2019,3,29,51,8,0
2010,1,25,22,11,1
2009,1,12,25,18,1
2022,5,18,8,22,1
2023,4,28,36,27,1
2009,11,18,31,13,1
2023,3,10,43,1,1
2020,12,9,54,20,1
2010,12,22,40,27,0
2013,7,22,20,11,1
2011,1,31,28,25,0
2013,1,9,10,12,0
2023,2,24,10,12,0
2020,10,19,43,1,1
2008,3,14,47,4,1
2020,1,29,43,1,0
2011,3,30,43,1,1
2007,5,8,45,10,1
2018,11,9,2,3,1
2022,10,14,11,29,1
2022,3,16,35,21,0
2010,5,14,19,25,1
2014,7,7,54,20,1
2023,6,21,7,11,0
2013,7,24,48,29,1
2007,10,29,37,6,0
2012,7,16,50,29,1
2013,1,9,25,18,0
2020,8,31,13,16,0
2008,7,28,37,6,1
2012,10,22,5,25,0
2018,1,17,17,14,1
2012,11,26,44,28,1
2015,3,6,54,20,1
2009,9,30,40,27,1
2017,11,10,35,21,1
2012,9,12,48,29,0
2014,3,28,1,0,1
2017,3,8,45,10,0
2016,11,11,41,4,1
2020,10,28,3,22,1
2008,7,25,22,11,1
2007,9,24,49,26,1
2010,12,13,23,27,0
2011,8,3,3,22,1
2013,9,30,13,16,1
2019,1,14,52,14,0
2022,7,27,28,25,1
2009,6,10,52,14,1
2012,10,31,3,22,0
2010,2,22,27,30,0
2012,9,7,39,25,1
2013,9,13,20,11,0
2020,4,24,45,10,0
2008,12,3,32,6,1
2020,9,18,6,27,1
2007,2,14,28,25,1
2014,4,25,3,22,0
2022,5,9,53,18,0
2017,11,10,9,5,0
2013,5,13,12,7,0
2012,10,19,55,31,0
2010,1,15,42,17,1
2012,2,24,26,15,1
2017,10,4,37,6,0
2021,2,26,29,27,0
2021,5,28,7,11,1
2020,12,23,50,29,1
2011,8,19,51,8,1
2024,1,19,45,10,1
2008,6,4,0,12,0
2018,4,11,18,9,0
2014,12,29,32,6,0
2023,11,24,53,18,1
2022,6,8,12,7,0
2023,5,10,51,8,0
2016,10,17,25,18,1
2010,11,24,31,13,1
2022,4,4,18,9,1
2007,3,3,37,6,0
2022,10,10,47,4,0
2011,1,21,4,5,1
2021,12,27,13,16,0
2009,4,13,21,2,1
2015,4,29,47,4,1
